date,generacion_total_programada_redespacho,generacion_total_programada_despacho,generacion_total_real,importacion_programada_redespacho,importacion__real,exportacion_programada_redespacho,exportacion__real,disponibilidad_real,demanda_no_atendida,costo_marginal_promedio_redespacho,aportes_hidricos,volumen_util_diario,volumen,id
"'2017-08-27 00:00:00'",162.79,162.79,163.96,0.0,0.11,0.0,0.04,13649.69,65.55,113.22,150.90,12963.87,14536.48,1427
"'2017-08-28 00:00:00'",188.1,188.1,187.17,0.0,0.11,0.0,0.05,13777.09,76.12,123.84,127.73,12918.32,14490.95,1428
"'2017-08-29 00:00:00'",190.76,190.76,188.74,0.0,0.05,0.0,0.0,13785.76,29.8,129.07,179.92,12924.59,14497.19,1429
"'2017-08-30 00:00:00'",192.06,192.06,188.9,0.0,0.12,0.0,0.05,13273.27,305.59,132.88,213.66,12971.25,14543.89,1430
"'2017-08-31 00:00:00'",191.22,191.22,188.52,0.0,0.06,0.0,0.0,13484.43,328.01,133.38,181.75,12984.73,14557.35,1431
"'2017-09-01 00:00:00'",192.15,192.15,191.53,0.0,0.11,0.0,0.0,13283.24,154.82,130.67,123.82,12947.76,14520.35,1432
"'2017-09-02 00:00:00'",180.73,180.73,184.17,0.0,0.06,0.0,0.0,13141.34,8.47,131.08,163.79,12935.32,14507.95,1433
"'2017-09-03 00:00:00'",160.02,160.12,163.41,0.0,0.11,0.0,0.0,13460.86,379.52,142.23,130.79,12937.70,14510.30,1434
"'2017-09-04 00:00:00'",187.49,187.49,191.4,0.0,0.11,0.0,0.05,13768.39,199.37,129.9,117.76,12883.25,14455.85,1435
"'2017-09-05 00:00:00'",188.69,188.69,195.04,0.0,0.12,0.0,0.05,13615.83,194.76,130.27,134.64,12843.06,14415.68,1436
"'2017-09-06 00:00:00'",188.98,188.98,194.44,0.0,0.11,0.0,0.05,13427.83,135.02,130.52,140.77,12810.39,14383.02,1437
"'2017-09-07 00:00:00'",188.86,188.86,191.14,0.0,0.11,0.0,0.05,13409.74,278.5,136.48,148.06,12785.91,14358.52,1438
"'2017-09-08 00:00:00'",189.88,190.13,187.94,0.0,0.02,0.0,0.01,13677.8,223.38,135.16,166.58,12776.34,14348.95,1439
"'2017-09-09 00:00:00'",178.69,178.69,175.03,0.0,0.11,0.0,0.04,13693.37,9.75,119.69,172.56,12789.11,14361.72,1440
